Location_ID,State,SA4_Name,LGA_Name,Remoteness_Category
200,Vic,Melbourne - South East,Monash,Major Cities of Australia
201,NSW,Far West and Orana,Unincorporated,Very Remote Australia
202,Qld,Queensland - Outback,Barcaldine,Very Remote Australia
203,Vic,Melbourne - West,Wyndham,Major Cities of Australia
204,NSW,New England and North West,Glen Innes Severn,Outer Regional Australia
205,Qld,Brisbane - West,Brisbane,Major Cities of Australia
206,NSW,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia
207,Qld,Central Queensland,Livingstone,Outer Regional Australia
208,Vic,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia
209,Qld,Queensland - Outback,Cook,Very Remote Australia
210,Tas,Hobart,Clarence,Inner Regional Australia
211,NSW,Sydney - Inner South West,Georges River,Major Cities of Australia
212,NSW,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia
213,NSW,Murray,Greater Hume,Inner Regional Australia
214,Vic,Melbourne - South East,Kingston (Vic.),Major Cities of Australia
215,Vic,Melbourne - Inner East,Manningham,Major Cities of Australia
216,NSW,Central West,Bathurst Regional,Inner Regional Australia
217,SA,South Australia - Outback,Wudinna,Remote Australia
218,NSW,New England and North West,Inverell,Outer Regional Australia
219,Vic,Melbourne - West,Brimbank,Major Cities of Australia
220,Vic,Melbourne - North East,Darebin,Major Cities of Australia
221,SA,Adelaide - West,Charles Sturt,Major Cities of Australia
222,Tas,Launceston and North East,Flinders (Tas.),Very Remote Australia
223,Tas,West and North West,Burnie,Outer Regional Australia
224,Vic,Geelong,Greater Geelong,Major Cities of Australia
225,SA,Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia
226,SA,Adelaide - South,Onkaparinga,Inner Regional Australia
227,Tas,Launceston and North East,Launceston,Outer Regional Australia
228,Vic,Hume,Indigo,Inner Regional Australia
229,Vic,Melbourne - Inner,Yarra,Major Cities of Australia
230,Vic,Melbourne - Inner,Port Phillip,Major Cities of Australia
231,Tas,West and North West,Waratah-Wynyard,Outer Regional Australia
232,Vic,Shepparton,Campaspe,Inner Regional Australia
233,NT,Northern Territory - Outback,Barkly,Very Remote Australia
234,NSW,Sydney - Parramatta,Blacktown,Major Cities of Australia
235,NSW,Central West,Blayney,Inner Regional Australia
236,SA,Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia
237,Vic,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia
238,NT,Darwin,Palmerston,Outer Regional Australia
239,NSW,New England and North West,Gunnedah,Outer Regional Australia
240,Tas,Launceston and North East,Break O'Day,Outer Regional Australia
241,Vic,North West,Buloke,Outer Regional Australia
242,Vic,North West,West Wimmera,Outer Regional Australia
243,NSW,Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia
244,Vic,Melbourne - South East,Casey,Inner Regional Australia
245,NSW,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia
246,Vic,Warrnambool and South West,Warrnambool,Inner Regional Australia
247,NSW,Murray,Berrigan,Inner Regional Australia
248,NSW,Far West and Orana,Warren,Remote Australia
249,NT,Northern Territory - Outback,Victoria Daly,Very Remote Australia
250,Vic,Shepparton,Moira,Inner Regional Australia
251,Qld,Brisbane - North,Brisbane,Major Cities of Australia
252,SA,South Australia - South East,Berri Barmera,Outer Regional Australia
253,Vic,Melbourne - Inner,Moonee Valley,Major Cities of Australia
254,NT,Darwin,Litchfield,Outer Regional Australia
255,Vic,Melbourne - South East,Greater Dandenong,Major Cities of Australia
256,Vic,Geelong,Golden Plains,Inner Regional Australia
257,Qld,Darling Downs - Maranoa,Toowoomba,Outer Regional Australia
258,Vic,Melbourne - North West,Moonee Valley,Major Cities of Australia
259,SA,Adelaide - South,Onkaparinga,Major Cities of Australia
260,NSW,Sydney - Inner West,Inner West,Major Cities of Australia
261,SA,South Australia - Outback,Whyalla,Outer Regional Australia
262,Qld,Central Queensland,Rockhampton,Outer Regional Australia
263,SA,South Australia - Outback,Unincorporated SA,Remote Australia
264,Qld,Central Queensland,Gladstone,Inner Regional Australia
265,Qld,Sunshine Coast,Noosa,Inner Regional Australia
266,Qld,Queensland - Outback,Mount Isa,Remote Australia
267,Vic,Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia
268,Qld,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia
269,Vic,Melbourne - West,Maribyrnong,Major Cities of Australia
270,SA,Adelaide - South,Marion,Major Cities of Australia
271,Qld,Gold Coast,Gold Coast,Inner Regional Australia
272,Vic,North West,Mildura,Outer Regional Australia
273,NSW,Sydney - North Sydney and Hornsby,Hornsby,Inner Regional Australia
274,Vic,Hume,Mansfield,Outer Regional Australia
275,Qld,Townsville,Charters Towers,Very Remote Australia
276,NSW,Richmond - Tweed,Richmond Valley,Inner Regional Australia
277,NSW,Sydney - Sutherland,Sutherland,Inner Regional Australia
278,NSW,Central West,Mid-Western Regional,Inner Regional Australia
279,Vic,Melbourne - North West,Hume,Major Cities of Australia
280,NSW,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia
281,Tas,Launceston and North East,West Tamar,Inner Regional Australia
282,Vic,Melbourne - Inner South,Glen Eira,Major Cities of Australia
283,Qld,Sunshine Coast,Sunshine Coast,Inner Regional Australia
284,Vic,Melbourne - North East,Nillumbik,Major Cities of Australia
285,Vic,North West,Yarriambiack,Remote Australia
286,Vic,Ballarat,Pyrenees,Inner Regional Australia
287,NSW,Far West and Orana,Unincorporated,Remote Australia
288,NSW,Sydney - Inner South West,Strathfield,Major Cities of Australia
289,NSW,Sydney - Inner South West,Bayside,Major Cities of Australia
290,NSW,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia
291,NSW,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia
292,Qld,Wide Bay,Bundaberg,Outer Regional Australia
293,SA,South Australia - South East,Mid Murray,Inner Regional Australia
294,SA,South Australia - South East,Murray Bridge,Inner Regional Australia
295,NSW,Murray,Murray River,Outer Regional Australia
296,NSW,Sydney - Outer South West,Camden,Major Cities of Australia
297,Tas,Hobart,Glenorchy,Inner Regional Australia
298,NSW,Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia
299,NSW,Sydney - Eastern Suburbs,Randwick,Major Cities of Australia
300,NSW,Sydney - Inner West,Strathfield,Major Cities of Australia
301,NSW,Sydney - Ryde,Hunters Hill,Major Cities of Australia
302,Vic,Hume,Wangaratta,Inner Regional Australia
303,NSW,Central West,Parkes,Outer Regional Australia
304,NSW,Far West and Orana,Dubbo Regional,Outer Regional Australia
305,NSW,Richmond - Tweed,Byron,Inner Regional Australia
306,NSW,Far West and Orana,Cabonne,Outer Regional Australia
307,ACT,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia
308,Vic,Ballarat,Moorabool,Inner Regional Australia
309,Qld,Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia
310,Vic,Hume,Benalla,Inner Regional Australia
311,NSW,Coffs Harbour - Grafton,Bellingen,Inner Regional Australia
312,Vic,Latrobe - Gippsland,Wellington,Inner Regional Australia
313,NSW,Central Coast,Central Coast,Inner Regional Australia
314,NSW,Murray,Edward River,Outer Regional Australia
315,SA,South Australia - South East,Coorong,Outer Regional Australia
316,Tas,Launceston and North East,George Town,Outer Regional Australia
317,NSW,Sydney - Ryde,Ryde,Major Cities of Australia
318,Vic,Latrobe - Gippsland,Bass Coast,Inner Regional Australia
319,Qld,Queensland - Outback,Richmond,Very Remote Australia
320,Vic,Hume,Strathbogie,Inner Regional Australia
321,NSW,Murray,Hay,Remote Australia
322,NSW,Central West,Weddin,Outer Regional Australia
323,Vic,Melbourne - West,Moorabool,Inner Regional Australia
324,Vic,Shepparton,Moira,Outer Regional Australia
325,NSW,Central West,Lachlan,Outer Regional Australia
326,NSW,Sydney - Eastern Suburbs,Waverley,Major Cities of Australia
327,Vic,North West,Northern Grampians,Outer Regional Australia
328,Qld,Townsville,Charters Towers,Outer Regional Australia
329,Qld,Cairns,Mareeba,Outer Regional Australia
330,Vic,North West,Horsham,Outer Regional Australia
331,SA,Adelaide - North,Adelaide Plains,Inner Regional Australia
332,Vic,Melbourne - Inner,Stonnington,Major Cities of Australia
333,SA,Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia
334,NSW,Far West and Orana,Gilgandra,Outer Regional Australia
335,SA,Barossa - Yorke - Mid North,Adelaide Plains,Inner Regional Australia
336,Qld,Darling Downs - Maranoa,Goondiwindi,Outer Regional Australia
337,Vic,Melbourne - North East,Mitchell,Inner Regional Australia
338,Qld,Cairns,Cassowary Coast,Remote Australia
339,SA,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia
340,Qld,Moreton Bay - South,Moreton Bay,Inner Regional Australia
341,SA,Adelaide - West,West Torrens,Major Cities of Australia
342,Vic,North West,Yarriambiack,Outer Regional Australia
343,Vic,Hume,Alpine,Outer Regional Australia
344,NSW,Riverina,Snowy Valleys,Inner Regional Australia
345,Vic,Melbourne - Outer East,Whitehorse,Major Cities of Australia
346,Qld,Queensland - Outback,Cloncurry,Very Remote Australia
347,NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Outer Regional Australia
348,Qld,Darling Downs - Maranoa,Western Downs,Remote Australia
349,NSW,Sydney - South West,Penrith,Major Cities of Australia
350,Qld,Brisbane - East,Redland,Outer Regional Australia
351,NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Major Cities of Australia
352,Tas,Hobart,Sorell,Inner Regional Australia
353,Vic,Hume,Towong,Outer Regional Australia
354,SA,South Australia - South East,Grant,Outer Regional Australia
355,Vic,Ballarat,Hepburn,Inner Regional Australia
356,Qld,Central Queensland,Central Highlands (Qld),Outer Regional Australia
357,Qld,Townsville,Charters Towers,Remote Australia
358,NSW,Central West,Blayney,Outer Regional Australia
359,NSW,Capital Region,Hilltops,Outer Regional Australia
360,Qld,Ipswich,Lockyer Valley,Inner Regional Australia
361,WA,,,Major Cities of Australia
362,Tas,West and North West,Circular Head,Remote Australia
363,Vic,North West,Swan Hill,Outer Regional Australia
364,NSW,Riverina,Murrumbidgee,Outer Regional Australia
365,WA,,,Inner Regional Australia
366,WA,,,Outer Regional Australia
367,NSW,Capital Region,Upper Lachlan,Outer Regional Australia
368,NSW,Central West,Orange,Inner Regional Australia
369,Tas,Launceston and North East,Launceston,Inner Regional Australia
370,NSW,Central West,Cowra,Outer Regional Australia
371,SA,Adelaide - Central and Hills,Walkerville,Major Cities of Australia
372,NSW,Sydney - City and Inner South,Bayside,Major Cities of Australia
373,NSW,Illawarra,Sutherland,Inner Regional Australia
374,Vic,Melbourne - Inner East,Whitehorse,Major Cities of Australia
375,WA,,,Remote Australia
376,NSW,Murray,Wentworth,Remote Australia
377,Tas,South East,Tasman,Outer Regional Australia
378,Tas,West and North West,Latrobe (Tas.),Outer Regional Australia
379,SA,South Australia - Outback,Port Augusta,Outer Regional Australia
380,Vic,Hume,Benalla,Outer Regional Australia
381,NSW,New England and North West,Liverpool Plains,Outer Regional Australia
382,Vic,Mornington Peninsula,Mornington Peninsula,Inner Regional Australia
383,Qld,Central Queensland,Banana,Outer Regional Australia
384,WA,,,Very Remote Australia
385,SA,Adelaide - Central and Hills,Mount Barker,Major Cities of Australia
386,NSW,Sydney - City and Inner South,Inner West,Major Cities of Australia
387,Vic,Bendigo,Loddon,Outer Regional Australia
388,NSW,Capital Region,Eurobodalla,Inner Regional Australia
389,NSW,Sydney - Sutherland,Sutherland,Major Cities of Australia
390,NT,Northern Territory - Outback,Roper Gulf,Very Remote Australia
391,SA,Barossa - Yorke - Mid North,Barunga West,Outer Regional Australia
392,NSW,New England and North West,Tamworth Regional,Inner Regional Australia
393,Tas,West and North West,West Coast,Remote Australia
394,SA,South Australia - South East,Tatiara,Outer Regional Australia
395,NSW,Capital Region,Snowy Monaro Regional,Inner Regional Australia
396,Qld,Queensland - Outback,Etheridge,Very Remote Australia
397,NSW,Central West,Bland,Outer Regional Australia
398,NSW,Central West,Oberon,Outer Regional Australia
399,Qld,Darling Downs - Maranoa,Maranoa,Outer Regional Australia
400,Vic,Latrobe - Gippsland,East Gippsland,Remote Australia
401,Vic,Warrnambool and South West,Corangamite,Inner Regional Australia
402,SA,Barossa - Yorke - Mid North,Yorke Peninsula,Outer Regional Australia
403,Tas,Hobart,Derwent Valley,Inner Regional Australia
404,NSW,Sydney - Ryde,Hornsby,Major Cities of Australia
405,SA,Barossa - Yorke - Mid North,Port Pirie,Outer Regional Australia
406,NSW,Hunter Valley exc Newcastle,Muswellbrook,Outer Regional Australia
407,Tas,West and North West,Circular Head,Outer Regional Australia
408,Tas,West and North West,Devonport,Outer Regional Australia
409,Qld,Queensland - Outback,Flinders (Qld),Very Remote Australia
410,NSW,Sydney - Inner West,Burwood,Major Cities of Australia
411,NT,Northern Territory - Outback,Alice Springs,Remote Australia
412,NSW,Mid North Coast,Nambucca Valley,Outer Regional Australia
413,Qld,Moreton Bay - North,Somerset,Outer Regional Australia
414,NSW,Central West,Lachlan,Remote Australia
415,NSW,New England and North West,Gwydir,Outer Regional Australia
416,SA,Adelaide - North,Port Adelaide Enfield,Major Cities of Australia
417,Vic,Bendigo,Macedon Ranges,Inner Regional Australia
418,Vic,Melbourne - North East,Banyule,Major Cities of Australia
419,NSW,Central West,Lithgow,Outer Regional Australia
420,NSW,Murray,Federation,Inner Regional Australia
421,NSW,Riverina,Wagga Wagga,Outer Regional Australia
422,NSW,Far West and Orana,Coonamble,Remote Australia
423,NSW,Mid North Coast,Kempsey,Inner Regional Australia
424,NSW,Riverina,Carrathool,Outer Regional Australia
425,Qld,Queensland - Outback,Barcoo,Very Remote Australia
426,Qld,Queensland - Outback,Mareeba,Outer Regional Australia
427,Vic,Melbourne - West,Hobsons Bay,Major Cities of Australia
428,NSW,Riverina,Temora,Outer Regional Australia
429,SA,South Australia - South East,Karoonda East Murray,Outer Regional Australia
430,Qld,Central Queensland,Livingstone,Inner Regional Australia
431,Vic,Latrobe - Gippsland,Unincorporated Vic,Outer Regional Australia
432,Vic,North West,Gannawarra,Outer Regional Australia
433,NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia
434,SA,South Australia - Outback,Ceduna,Very Remote Australia
435,NSW,Sydney - Ryde,Parramatta,Major Cities of Australia
436,Qld,Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia
437,NSW,Illawarra,Shellharbour,Inner Regional Australia
438,NT,Darwin,Darwin,Outer Regional Australia
439,Vic,Latrobe - Gippsland,Baw Baw,Outer Regional Australia
440,NT,Northern Territory - Outback,Central Desert,Very Remote Australia
441,NSW,Sydney - Outer South West,Sutherland,Inner Regional Australia
442,NSW,Mid North Coast,Kempsey,Outer Regional Australia
443,Qld,Queensland - Outback,Carpentaria,Very Remote Australia
444,Vic,Unknown,Unknown,Unknown
445,SA,South Australia - Outback,Wudinna,Very Remote Australia
446,Qld,Queensland - Outback,Murweh,Very Remote Australia
447,NSW,Capital Region,Eurobodalla,Outer Regional Australia
448,SA,South Australia - South East,Renmark Paringa,Outer Regional Australia
449,SA,South Australia - South East,Loxton Waikerie,Outer Regional Australia
450,Tas,West and North West,Central Coast (Tas.),Outer Regional Australia
451,NSW,Murray,Berrigan,Outer Regional Australia
452,SA,Adelaide - Central and Hills,Norwood Payneham and St Peters,Major Cities of Australia
453,Tas,Hobart,Sorell,Outer Regional Australia
454,NSW,Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia
455,NSW,Capital Region,Yass Valley,Major Cities of Australia
